Frequency             Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	              (mJy_arcsec^{-2}) 

29973.49252232  1.67973832 
29974.49273532  0.08891232 
29975.49294932  0.00988032 
29976.49316232  0.00578732 
29977.49337632  0.12619232 
29978.49358932  0.10923332 
29979.49380332  0.26156532 
29980.49401632  0.01303532 
29981.49423032  0.01792732 
29982.49444432  0.14223732 
29983.49465732  0.11857732 
29984.49487132  0.05771732 
29985.49508432  -0.00314432 
29986.49334432  -0.02445432 
29987.49355832  -0.09941032 
29988.49377132  0.02594332 
29989.49398532  0.05498732 
29990.49419832  0.07128232 
29991.49441232  -0.02520132 
29992.49462532  0.06996232 
29993.49483932  -0.06726532 
29994.49505232  0.13279032 
29995.49526632  0.11046932 
29996.49547932  -0.03408332 
29997.49569332  0.30449832 
29998.49590632  0.36647332 
29999.49612032  -7.99294332 
30000.49633332  -10.06066432 
30001.49459332  -14.87266032 
30002.49480732  -2.47374132 
30003.49502032  0.68084332 
30004.49523432  0.19828832 
30005.49544832  0.08816232 
30006.49566132  -0.13535832 
30007.49587532  -0.45573932 
30008.49608832  -0.01284532 
30009.49630232  0.18587932 
30010.49651532  1.06294132 
30011.49672932  0.03481232 
30012.49694232  -0.16996732 
30013.49715632  -0.08894432 
30014.49736932  -0.04444532 
30015.49758332  -0.28577832 
30016.49584332  -0.13759132 
30017.49605632  -0.07621232 
30018.49627032  -0.32835532 
30019.49648332  -0.10069132 
30020.49669732  -0.06923232 
30021.49691032  -0.01215132 
30022.49712432  0.02401532 
30023.49733732  -0.10776332 
30024.49755132  -0.01482332 
30025.49776532  0.05588332 
30026.49797832  -0.03904432 
30027.49819232  -0.05512232 
30028.49840532  0.02955932 
30029.49861932  0.07858632 
30030.49883232  0.14428532 
30031.49709232  0.07904632 
30032.49730632  0.01380832 
30033.49751932  -0.12447132 
30034.49773332  -0.01962932 
30035.49794632  0.05792332 
30036.49816032  0.06118532 
30037.49837332  -0.09870932 
30038.49858732  -0.00145632 
30039.49880032  0.02356132 
30040.49901432  -0.06802932 
30041.49922732  0.01686332 
30042.49944132  -0.00574732 
30043.49965432  0.01937632 
30044.49986832  -0.04168432 
30045.50008232  -0.03514132 
30046.49834232  -0.07473232 
30047.49855532  -0.01318832 
30048.49876932  -0.03163232 
30049.49898232  -0.08739532 
30050.49919632  -0.02580432 
30051.49940932  -0.05316832 
30052.49962332  -0.06778132 
30053.49983632  0.01387732 
30054.50005032  0.04044032 
30055.50026332  -0.00807432 
30056.50047732  0.05373432 
30057.50069032  0.00419932 
30058.50090432  0.02289532 
30059.50111732  -0.00053032 
30060.50133132  0.05289732 
30061.49959132  0.00840132 
30062.49980432  0.06069732 
30063.50001832  0.13429632 
30064.50023132  0.13738732 
30065.50044532  0.09059132 
30066.50065932  0.01882032 
30067.50087232  0.00585132 
30068.50108632  0.07199132 
30069.50129932  0.04731132 
30070.50151332  0.05004232 
30071.50172632  0.05171732 
30072.50194032  0.01998332 
30073.50215332  0.06095732 
30074.50236732  0.01801332 
30075.50258032  0.01988032 
