Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29982.49444432  -0.00198032 
29983.49465732  0.11313732 
29984.49487132  0.04405832 
29985.49508432  -0.02502532 
29986.49334432  0.03126132 
29987.49355832  -0.08543232 
29988.49377132  -0.13087332 
29989.49398532  0.08704832 
29990.49419832  -0.02501432 
29991.49441232  0.02221532 
29992.49462532  0.10606532 
29993.49483932  0.06797832 
29994.49505232  0.15470632 
29995.49526632  -0.10049232 
29996.49547932  0.04874132 
29997.49569332  0.01547932 
29998.49590632  -0.01029432 
29999.49612032  -1.07690132 
30000.49633332  -4.10685232 
30001.49459332  -5.34856232 
30002.49480732  -8.62344432 
30003.49502032  -0.79613932 
30004.49523432  -0.23174932 
30005.49544832  -0.70820832 
30006.49566132  -0.98538632 
30007.49587532  -0.56609032 
30008.49608832  -0.63351732 
30009.49630232  -0.44609032 
30010.49651532  -0.24780432 
30011.49672932  -0.35137732 
30012.49694232  -0.32098932 
30013.49715632  -0.00029332 
30014.49736932  -0.02408432 
30015.49758332  -0.49263032 
30016.49584332  -0.05293232 
30017.49605632  -0.04673632 
30018.49627032  -0.24199032 
30019.49648332  0.02718832 
30020.49669732  -0.06472832 
30021.49691032  0.02312432 
30022.49712432  0.06450832 
30023.49733732  0.19692332 
30024.49755132  -0.06738232 
30025.49776532  -0.00861332 
30026.49797832  0.02312732 
30027.49819232  0.06273332 
30028.49840532  0.01682932 
30029.49861932  -0.00865532 
30030.49883232  -0.02574332 
30031.49709232  0.02786732 
30032.49730632  0.08147932 
30033.49751932  0.13298532 
30034.49773332  -0.12515132 
30035.49794632  0.06804832 
30036.49816032  0.16868432 
30037.49837332  -0.04495232 
30038.49858732  -0.16642732 
30039.49880032  -0.04677932 
30040.49901432  -0.05028532 
30041.49922732  -0.10800432 
30042.49944132  -0.11285732 
30043.49965432  0.00002432 
30044.49986832  -0.04208732 
30045.50008232  -0.06643932 
30046.49834232  -0.14152832 
30047.49855532  -0.04692932 
30048.49876932  -0.00079232 
30049.49898232  0.05511932 
30050.49919632  -0.13802532 
30051.49940932  -0.12381732 
30052.49962332  0.03661932 
30053.49983632  -0.05928832 
30054.50005032  0.09086432 
30055.50026332  -0.02825732 
30056.50047732  -0.00810432 
30057.50069032  0.02632032 
30058.50090432  -0.01295132 
30059.50111732  0.04025432 
30060.50133132  0.02182732 
30061.49959132  0.09603432 
30062.49980432  0.05306132 
30063.50001832  0.13198932 
30064.50023132  0.17552832 
30065.50044532  0.15203532 
30066.50065932  0.20519532 
30067.50087232  0.02093732 
30068.50108632  0.14689232 
30069.50129932  0.09225332 
30070.50151332  0.08814832 
30071.50172632  0.03496832 
30072.50194032  0.11423832 
30073.50215332  0.01270532 
30074.50236732  0.02629632 
30075.50258032  -0.07161132 
30076.50084032  -0.07593732 
30077.50105432  0.06553932 
30078.50126732  0.09551732 
30079.50148132  0.01747332 
30080.50169432  0.00025932 
30081.50190832  0.01609232 
30082.50212132  -0.05853532 
30083.50233532  0.07817432 
30084.50254832  -0.04804632 
30085.50276232  0.01446832 
30086.50297532  -0.06192732 
30087.50318932  -0.06018632 
30088.50340332  0.05159132 
30089.50361632  -0.01870532 
30090.50383032  -0.05527732 
30091.50209032  0.04379632 
30092.50230332  -0.03963032 
30093.50251732  0.03430832 
30094.50273032  -0.07813332 
30095.50294432  -0.00845132 
30096.50315732  -0.00576832 
30097.50337132  0.04747332 
30098.50358432  0.12641232 
30099.50379832  0.07002332 
30100.50401132  -0.09489232 
30101.50422532  -0.02623132 
30102.50443832  -0.02784732 
30103.50465232  -0.01191832 
30104.50486532  0.03282232 
30105.50507932  -0.07225432 
30106.50333932  -0.00143932 
30107.50355232  -0.04879932 
30108.50376632  0.00302532 
30109.50398032  0.00123832 
30110.50419332  0.01171832 
30111.50440732  0.01488532 
30112.50462032  -0.03554132 
30113.50483432  -0.04769732 
30114.50504732  0.06172532 
30115.50526132  -0.03621832 
30116.50547432  -0.07461932 
30117.50568832  -0.02199832 
30118.50590132  -0.09309832 
30119.50611532  -0.03697332 
30120.50632832  0.02992232 
30121.50458832  0.07017432 
30122.50480232  0.07277732 
30123.50501532  -0.00385632 
30124.50522932  0.01397832 
30125.50544232  -0.02204132 
30126.50565632  -0.05268932 
30127.50586932  0.03340132 
30128.50608332  -0.05536832 
30129.50629732  0.07958332 
30130.50651032  -0.04005432 
30131.50672432  0.04626132 
30132.50693732  0.02417732 
30133.50715132  0.05123532 
30134.50736432  -0.03659332 
30135.50757832  0.05583232 
