Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

30007.49587532  -0.65328232 
30008.49608832  -0.25511332 
30009.49630232  0.58128532 
30010.49651532  0.48749132 
30011.49672932  -0.09161232 
30012.49694232  -0.15762132 
30013.49715632  -0.09510932 
30014.49736932  -0.00859532 
30015.49758332  -0.24082732 
30016.49584332  -0.06408332 
30017.49605632  -0.02449332 
30018.49627032  -0.17483832 
30019.49648332  -0.08863932 
30020.49669732  0.10867932 
30021.49691032  -0.00208732 
30022.49712432  0.02938732 
30023.49733732  -0.06397532 
30024.49755132  -0.07780332 
30025.49776532  0.00926632 
30026.49797832  -0.09758732 
30027.49819232  -0.06241832 
30028.49840532  0.01663232 
30029.49861932  0.04124632 
30030.49883232  0.03523332 
30031.49709232  0.01791632 
30032.49730632  0.00059932 
30033.49751932  -0.08250332 
30034.49773332  0.02528132 
30035.49794632  0.03437432 
30036.49816032  -0.04007832 
30037.49837332  -0.11283932 
30038.49858732  -0.05405132 
30039.49880032  0.09956032 
30040.49901432  -0.10547332 
30041.49922732  -0.01983632 
30042.49944132  0.02416532 
30043.49965432  0.02271132 
30044.49986832  -0.00520332 
30045.50008232  0.05250532 
30046.49834232  -0.09112632 
30047.49855532  0.00249832 
30048.49876932  0.00725232 
30049.49898232  -0.06330132 
30050.49919632  -0.02387932 
30051.49940932  0.05376732 
30052.49962332  0.00848332 
30053.49983632  0.09641332 
30054.50005032  0.05229432 
30055.50026332  -0.01648932 
30056.50047732  0.02219632 
30057.50069032  -0.00407932 
30058.50090432  0.03628032 
30059.50111732  -0.01829732 
30060.50133132  -0.01841832 
30061.49959132  -0.01716032 
30062.49980432  0.04212932 
30063.50001832  -0.01632832 
30064.50023132  0.06120532 
30065.50044532  0.00321632 
30066.50065932  0.04466832 
30067.50087232  0.06409032 
30068.50108632  0.06908932 
30069.50129932  0.01226532 
30070.50151332  0.08872632 
30071.50172632  0.00292632 
30072.50194032  0.03795332 
30073.50215332  0.03758132 
30074.50236732  -0.08637732 
30075.50258032  0.07617832 
30076.50084032  0.08752932 
30077.50105432  -0.00937832 
30078.50126732  -0.02117732 
30079.50148132  0.03042932 
30080.50169432  -0.03970432 
30081.50190832  0.02519832 
30082.50212132  -0.03564932 
30083.50233532  -0.05945132 
30084.50254832  -0.00839632 
30085.50276232  0.00903432 
30086.50297532  -0.10436332 
30087.50318932  0.03782132 
30088.50340332  -0.02921532 
30089.50361632  0.00467332 
30090.50383032  0.00035632 
30091.50209032  -0.06257232 
30092.50230332  -0.08836932 
30093.50251732  0.00362532 
30094.50273032  -0.03997832 
30095.50294432  -0.07962732 
30096.50315732  0.01053032 
30097.50337132  -0.02271132 
30098.50358432  -0.04108732 
30099.50379832  0.05134732 
30100.50401132  0.13418132 
30101.50422532  -0.01192932 
30102.50443832  -0.04111332 
30103.50465232  -0.00287132 
30104.50486532  -0.03247832 
30105.50507932  -0.07095332 
30106.50333932  0.02939332 
30107.50355232  -0.03724232 
30108.50376632  -0.02653732 
30109.50398032  0.00143832 
30110.50419332  -0.07068432 
30111.50440732  -0.11895532 
30112.50462032  0.07085632 
30113.50483432  -0.03966432 
30114.50504732  0.04455432 
30115.50526132  0.07907632 
30116.50547432  0.02518632 
30117.50568832  -0.11190332 
30118.50590132  0.07203932 
30119.50611532  -0.00213432 
30120.50632832  0.01056932 
30121.50458832  -0.08831632 
30122.50480232  -0.01352532 
30123.50501532  -0.07621332 
30124.50522932  -0.01182932 
30125.50544232  0.08534832 
30126.50565632  0.00694832 
30127.50586932  -0.05449432 
30128.50608332  0.04040432 
30129.50629732  0.08301932 
30130.50651032  0.05556032 
30131.50672432  0.13534432 
30132.50693732  -0.04203532 
30133.50715132  0.13034232 
30134.50736432  0.03384632 
30135.50757832  -0.04105132 
