sid[0] is nullSpecies:Chemical Name:Freq-GHz:Resolved<br>QNs:Lovas/AST<br>Intensity:Linelist
SO2v=0:Sulfur dioxide:37.35181:21(3,19)-20(4,16):-5.2588:
CH3OCHOv=0:Methyl Formate:37.38502:3(2,1)-2(2,1)E::JPL
NH3v=0:Ammonia:37.38512:15(15)0a-15(-15)0s::SLAIM
CH3CHOv=0:Acetaldehyde:37.464168:2(1,2)-1(1,1)A:-5.6959:JPL
CH3CHOv=0:Acetaldehyde:37.46417:2(1,2)-1(1,1)A::JPL
CH3CHOv=0:Acetaldehyde:37.51632:4(2,3)-5(1,4)A::JPL
CH3OCH3:Dimethyl ether:37.53368:6(1,5)-5(2,4)AA::SLAIM
CH3OCH3:Dimethyl ether:37.53579:6(1,5)-5(2,4)EE::SLAIM
CH3OCH3:Dimethyl ether:37.53788:6(1,5)-5(2,4)AE::SLAIM
CH3OCH3:Dimethyl ether:37.53793:6(1,5)-5(2,4)EA::SLAIM
CH3OCHOv=0:Methyl Formate:37.57655:3(2,1)-3(1,2)E::JPL
CH3OCHOv=0:Methyl Formate:37.5808:3(2,1)-3(1,2)A::JPL
CH3CHOv=0:Acetaldehyde:37.64173:4(2,2)-5(1,4)E::JPL
CH3CHOv=0:Acetaldehyde:37.686868:2(1,2)-1(1,1)E:-5.72:JPL
CH3CHOv=0:Acetaldehyde:37.68687:2(1,2)-1(1,1)E::JPL
CH3OHvt=0:Methanol:37.7037:7(-2,6)-8(-1,8): 4.0e:Lovas
CH3CHOv=0:Acetaldehyde:37.8514:5(2,3)-6(1,6)E::JPL
CH3OCHOv=0:Methyl Formate:37.88236:4(0,4)-3(1,3)E::JPL
CH3OCHOv=0:Methyl Formate:37.88305:4(0,4)-3(1,3)A::JPL
CH2CHCNv=0:Vinyl Cyanide:37.90485:4(0,4)-3(0,3),F=4-3:0.17:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.04962:N=4-3,J=9/2-7/2,F=4-3:b:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.04969:N=4-3,J=9/2-7/2,F=5-4:0.088b:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.05943:N=4-3,J=7/2-7/2,F=4-4:0.06:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.07893:N=4-3,J=7/2-7/2,F=3-3:0.08:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.08844:N=4-3,J=7/2-5/2,F=4-3:b:Lovas
C4Hv=0:1,3-Butadiynyl radical:38.08848:N=4-3,J=7/2-5/2,F=5-4:0.064b:Lovas
CH3CHOv=0:Acetaldehyde:38.13844:5(2,3)-6(1,6)A::JPL
CH3CHOv=0:Acetaldehyde:38.15098:8(1,7)-8(1,8)E::JPL
CH3OCHOv=0:Methyl Formate:38.15414:6(5,2)-7(4,4)E::JPL
CH3OCHOv=0:Methyl Formate:38.18714:6(5,2)-7(4,3)A::JPL
CH3OCHOv=0:Methyl Formate:38.21195:6(5,1)-7(4,3)E::JPL
CH3CHOv=0:Acetaldehyde:38.24071:8(1,7)-8(1,8)A::JPL
